TUCURUI	FURNAS	AVERMELHA	S.DO FACÃO	NOVA PONTE	SÃO SIMÃO	EMBORCAÇÃO	ITUMBIARA	CHAVANTES	CAPIVARA	TRÊS MARIAS	B. BONITA	SERRA DA MESA	IRAPE	ITAPARICA	SOBRADINHO	G. P. SOUZA	SALTO SANTIAGO	SANTA CLARA-PR	SEGREDO	G. B. MUNHOZ	MAUA	PASSO FUNDO	MACHADINHO	CAMPOS NOVOS	BARRA GRANDE
0.2747	0.0983	0.1952	0.2295	0.1227	0.5782	0.1653	0.1397	0.1943	0.2324	0.1016	0.5624	0.2715	0.3282	0.2198	0.2068	0.264	0.6616	0.2556	0.9897	0.4658	0.8336	0.8284	0.6778	0.742	0.5694
0.3196	0.1294	0.2116	0.2512	0.1029	0.5176	0.1288	0.1103	0.1901	0.2244	0.1051	0.5269	0.26	0.2647	0.1809	0.1851	0.3173	0.5745	0.4463	0.5824	0.4188	0.6326	0.9245	0.9396	1.0106	0.49
0.3798	0.2168	0.3491	0.276	0.1316	0.4377	0.1586	0.1262	0.2672	0.315	0.1767	0.8199	0.2808	0.2618	0.2068	0.1809	0.3235	0.4192	0.5988	0.7326	0.304	0.3993	0.8778	0.6993	1.0319	0.4235
0.7288	0.2588	0.5284	0.3551	0.2019	0.561	0.2183	0.1635	0.3343	0.3561	0.3082	0.8871	0.3124	0.2667	0.2234	0.1888	0.2551	0.2565	0.4288	0.8741	0.2618	0.4977	0.7372	0.3936	0.358	0.3379
0.9946	0.281	0.6406	0.4231	0.2395	0.6227	0.2655	0.2736	0.3606	0.3114	0.3673	0.9043	0.3456	0.2684	0.2308	0.2158	0.2759	0.2925	0.5708	0.5824	0.3567	0.4567	0.663	0.304	0.354	0.2898
1	0.2916	0.6932	0.4713	0.2629	0.5489	0.299	0.3396	0.4096	0.3278	0.3731	0.9819	0.3613	0.2514	0.1609	0.2139	0.203	0.4652	0.8918	0.5863	0.7378	0.5608	0.6279	0.1913	0.5	0.3003
0.9862	0.2886	0.6999	0.4984	0.2672	0.3682	0.3119	0.3791	0.4377	0.3228	0.3513	0.9879	0.3479	0.2245	0.1665	0.1943	0.4057	0.9954	1.0162	1.0063	0.9786	0.3713	0.6559	0.8571	0.89	0.5867
0.9402	0.2805	0.5484	0.5057	0.2678	0.3617	0.3191	0.4195	0.5998	0.994	0.3193	0.9616	0.3245	0.1948	0.1502	0.1646	0.3551	0.9299	0.5828	1	0.7144	0.4234	0.9968	1	1.0142	0.9971
0.7751	0.283	0.5315	0.4958	0.2559	0.3121	0.3249	0.3988	0.626	0.8844	0.2736	0.8667	0.291	0.1621	0.1358	0.126	0.2958	0.8591	0.4604	1.0104	0.4885	0.9925	0.9619	0.4453	0.404	0.7168
0.3996	0.2217	0.4961	0.463	0.2357	0.307	0.3223	0.3411	0.7253	0.9075	0.2207	0.8848	0.2462	0.1312	0.1158	0.085	0.5359	0.9975	0.976	1.0104	0.9832	0.9838	0.9925	0.9971	0.968	0.998
0.2364	0.2374	0.4461	0.4435	0.1893	0.2479	0.2912	0.2923	0.8337	0.983	0.1375	0.672	0.1993	0.0962	0.1034	0.0428	0.7199	0.9889	1.0178	0.9752	0.9735	0.6155	0.9925	0.9875	0.974	1.0012
0.184	0.3043	0.5158	0.3975	0.1616	0.329	0.293	0.2532	0.9438	0.9493	0.0797	0.798	0.1585	0.0815	0.1051	0.0111	0.9805	0.9954	1.0226	1.0125	0.9814	0.3421	1	0.9565	0.992	1
0.1536	0.5014	0.99	0.3424	0.1691	0.4408	0.3093	0.2401	0.8679	0.9191	0.0697	0.7508	0.1294	0.0853	0.1375	0.0219	0.9947	0.9944	0.9244	0.9732	0.9968	0.118	0.9925	0.9786	1	0.9931
0.3655	0.6231	0.9701	0.3503	0.2741	0.9234	0.4106	0.3411	0.7922	0.8334	0.2261	0.6231	0.1869	0.3216	0.4641	0.099	0.9982	0.9879	0.985	0.9959	0.9839	0.9029	0.9872	0.6244	0.686	0.8506
0.5695	0.7489	0.9925	0.3456	0.3212	0.8087	0.4471	0.4434	0.9477	0.9701	0.2991	0.8276	0.2174	0.3346	0.4562	0.3063	0.9655	0.997	0.991	0.9876	0.9971	1	0.9968	0.7218	0.84	0.9692
0.8078	0.7731	0.9405	0.3555	0.3939	0.9166	0.4865	0.6052	0.9594	0.978	0.3612	0.902	0.2421	0.3259	0.3522	0.3343	0.7779	0.9472	0.6784	0.8184	0.8586	0.9925	0.9893	0.9565	0.966	0.9768
0.9057	0.7619	0.9615	0.3353	0.4072	0.8943	0.4872	0.5928	0.8973	0.9602	0.3748	0.8331	0.2404	0.2927	0.3116	0.3086	0.8231	0.8882	1.0291	0.9959	0.9882	1	0.9979	0.7662	1.0213	0.9095
0.8803	0.7844	0.8822	0.3141	0.3991	0.9345	0.4798	0.5211	0.9025	1.005	0.367	0.9113	0.2322	0.2669	0.2719	0.2699	0.886	0.9028	0.982	0.9773	0.9971	0.9465	0.9968	0.9293	0.996	0.8701
0.8803	0.7353	0.7884	0.2926	0.3858	0.8643	0.4701	0.5141	0.9128	0.98	0.3528	0.9903	0.2008	0.233	0.2643	0.227	0.8836	0.9753	0.7276	0.8782	0.8828	1	0.9524	0.6209	0.4	0.7455
0.8321	0.6511	0.6763	0.2671	0.3583	0.7703	0.4517	0.4704	0.8896	0.988	0.3184	0.9147	0.1643	0.1968	0.2494	0.1864	0.9779	0.9954	0.901	0.9979	0.9818	0.7118	0.9524	0.7404	0.4279	0.8969
0.7491	0.5798	0.5002	0.2454	0.3155	0.5085	0.4126	0.4309	0.8654	0.979	0.2714	0.8232	0.1317	0.1632	0.2308	0.146	0.8685	0.9627	0.5301	0.9051	0.8038	0.3464	0.9194	0.7168	0.894	0.789
0.6575	0.5113	0.4171	0.232	0.2692	0.3766	0.3715	0.3538	0.8312	0.991	0.2151	0.6791	0.1036	0.1298	0.1975	0.1071	0.9422	0.8726	0.2901	0.5405	0.8117	0.3033	0.9102	0.4984	0.236	0.744
0.4941	0.4898	0.3434	0.2128	0.2292	0.4044	0.3352	0.2601	0.7947	0.8512	0.1571	0.6619	0.0908	0.0934	0.1665	0.0752	0.8431	0.7973	0.2981	0.5106	0.6269	0.3097	0.9893	0.7826	0.984	0.9971
